_id,barcode,brandcode,categorycode,topbrand,brandname,cpgid
601ac115be37ce2ead437551,511111019862,,BAKING,False,test brand @1612366101024,601ac114be37ce2ead437550
601c5460be37ce2ead43755f,511111519928,STARBUCKS,BEVERAGES,False,Starbucks,5332f5fbe4b03c9a25efd0ba
601ac142be37ce2ead43755d,511111819905,TEST BRANDCODE @1612366146176,BAKING,False,test brand @1612366146176,601ac142be37ce2ead437559
601ac142be37ce2ead43755a,511111519874,TEST BRANDCODE @1612366146051,BAKING,False,test brand @1612366146051,601ac142be37ce2ead437559
601ac142be37ce2ead43755e,511111319917,TEST BRANDCODE @1612366146827,CANDY_AND_SWEETS,False,test brand @1612366146827,5332fa12e4b03c9a25efd1e7
601ac142be37ce2ead43755b,511111719885,TEST BRANDCODE @1612366146091,BAKING,False,test brand @1612366146091,601ac142be37ce2ead437559
601ac142be37ce2ead43755c,511111219897,TEST BRANDCODE @1612366146133,BAKING,False,test brand @1612366146133,601ac142be37ce2ead437559
5cdad0f5166eb33eb7ce0faa,511111104810,J.L. KRAFT,,False,J.L. Kraft,559c2234e4b06aca36af13c6
5ab15636e4b0be0a89bb0b07,511111504412,CAMPBELLS HOME STYLE,,False,Campbell's Home Style,5a734034e4b0d58f376be874
5c408e8bcd244a1fdb47aee7,511111504788,TEST,,False,test,59ba6f1ce4b092b29c167346
5f4bf556be37ce0b4491554d,511111516354,TEST BRANDCODE @1598813526777,BAKING,False,test brand @1598813526777,5f4bf556be37ce0b44915549
57c08106e4b0718ff5fcb02c,511111102540,,,False,MorningStar,5332f5f2e4b03c9a25efd0aa
588ba07be4b02187f85cdadd,511111201076,CALUMET,,False,Calumet,559c2234e4b06aca36af13c6
5d6413156d5f3b23d1bc790a,511111205012,511111205012,,False,Entertainment Weekly,5d5d4fd16d5f3b23d1bc7905
585a9611e4b03e62d1ce0e74,511111801801,AUNT JEMIMA SYRUP,,False,AUNT JEMIMA Syrup,5332f5fbe4b03c9a25efd0ba
57e5820ce4b0ac389136a311,511111202233,MOLSON,,False,Molson Canadian,5332f709e4b03c9a25efd0f1
5fb6adb8be37ce522e165cb8,511111817376,LOTRIMIN,HEALTHY_AND_WELLNESS,False,Lotrimin®,5d9b4f591dda2c6225a284aa
5f358338be37ce443bf9d55a,511111515319,TEST BRANDCODE @1597342520277,BAKING,False,test brand @1597342520277,5f358338be37ce443bf9d557
5fb28549be37ce522e165cb5,511111317364,,BAKING,False,test brand @1605535049181,5fb28549be37ce522e165cb4
592486bfe410d61fcea3d139,511111300700,ST IVES,,False,ST. IVES,5332f5f6e4b03c9a25efd0b4
5c4699f387ff3577e203ea29,511111305125,CHRISIMAGE,,False,Chris Image Test,55b62995e4b0d8e685c14213
5da6071ea60b87376833e34d,511111005650,ALKA SELTZER,HEALTHY_AND_WELLNESS,False,Alka-Seltzer®,5d9b4f591dda2c6225a284aa
57ebc011e4b0ac389136a335,511111802129,JACK DANIEL'S BARBECUE,,False,Jack Daniel's,559c2234e4b06aca36af13c6
5332f5fee4b03c9a25efd0bd,511111303947,,,False,Bottled Starbucks,53e10d6368abd3c7065097cc
5332fa7ce4b03c9a25efd22e,511111802914,,,False,Full Throttle,5332f5ebe4b03c9a25efd0a8
5e9f18bfbe37ce3e45b6a77f,511111914549,,BAKING,False,PopUp Brand A,5e9f12f5be37ce3e45b6a77e
592486bee410d61fcea3d133,511111400769,MAGNUM Ice Cream,,False,MAGNUM Ice Cream,5332f5f6e4b03c9a25efd0b4
5d66d71fa3a018093ab34728,511111105329,511111105329,,False,Elegant Homes Magazine,5d5d4fd16d5f3b23d1bc7905
5f493e72be37ce64d0ae36c6,511111316114,TEST BRANDCODE @1598635634882,BAKING,False,test brand @1598635634882,5f493e72be37ce64d0ae36c2
5f4936ddbe37ce52f8314fd9,511111315957,,BAKING,False,test brand @1598633693011,5f4936dcbe37ce52f8314fd8
57ebc2e7e4b0ac389136a34b,511111201915,TACO BELL,,False,Taco Bell,559c2234e4b06aca36af13c6
5fd2a0aebe37ce49eb72c0ee,511111518112,,BAKING,False,test brand @1607639214411,5fd2a0aebe37ce49eb72c0ed
5dc03596a60b873d6b0666cd,511111506249,FROSTED CHEERIOS,,False,Frosted Cheerios™,53e10d6368abd3c7065097cc
5f494c5f04db711dd8fe87e6,511111916161,TEST BRANDCODE @1598639199674,BAKING,False,test brand @1598639199674,5f494c5d04db711dd8fe87e2
5332f772e4b03c9a25efd125,511111103653,,,False,Gold Medal,5332f5f3e4b03c9a25efd0ae
59dfaad1e4b0a56a2fa69abc,511111100621,GODIVA DRY PACKAGED DESSERTS,,False,GODIVA Instant Pudding Mix,559c2234e4b06aca36af13c6
5daf33e71dda2c3e1416ae93,511111305910,LARABAR,,False,LÄRABAR™,5332f5f3e4b03c9a25efd0ae
5f35a0babe37ce6853cff1ff,511111115366,TEST BRANDCODE @1597350074333,BAKING,False,test brand @1597350074333,5f35a0babe37ce6853cff1fd
5fd29590be37ce38bbbefb28,511111718079,TEST BRANDCODE @1607636368717,BAKING,False,test brand @1607636368717,5fd29590be37ce38bbbefb25
